Name,Year,Body_Type,Origin,Province,District,Transmission,Fuel_Type,Brand,price_num,age,mileage_num
Toyota Corolla 1.6 XLi 2009,2009,Sedan,Nhập khẩu,Hà Nội,Hoàng Mai,Số tự động,Máy xăng,Toyota,279000000,16,120000
Ford Ranger XLS 2.2 4x2 AT 2020,2020,Bán tải,Trong nước,Hà Nội,Hoàng Mai,Số tự động,Máy dầu,Ford,555000000,5,55000
Hyundai Accent 1.4 AT Đặc biệt 2019,2019,Sedan,Trong nước,Tp.HCM,Tân Phú,Số hỗn hợp,Máy xăng,Hyundai,378000000,6,42000
Mercedes-Benz C300 AMG 2020,2020,Sedan,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1139000000,5,68000
Hyundai Tucson 2.0 Tiêu chuẩn 2020,2020,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Hyundai,630000000,5,46000
Kia Cerato 1.6 AT Luxury 2020,2020,Sedan,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Kia,485000000,5,79000
Mazda 3 1.5L Sedan 2017,2017,Sedan,Trong nước,Hà Nội,Long Biên,Số tự động,Máy xăng,Mazda,385000000,8,80000
Mercedes-Benz GLC 200 V1 2022,2022,SUV,Trong nước,Tp.HCM,Bình Tân,Số tự động,Máy xăng,Mercedes-Benz,1438000000,3,28000
Mercedes-Benz GLC 200 V1 2022,2022,SUV,Trong nước,Tp.HCM,Bình Tân,Số tự động,Máy xăng,Mercedes-Benz,1438000000,3,39000
Mercedes-Benz GLC 200 4Matic 2022,2022,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1679000000,3,28888
Hyundai Santa Fe 2.4L Xăng Cao cấp 2015,2015,SUV,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Hyundai,545000000,10,120000
Ford EcoSport Titanium 1.5L AT 2020,2020,SUV,Trong nước,Tp.HCM,Tân Phú,Số tự động,Máy xăng,Ford,465000000,5,40000
Mazda 3 1.5L Sedan 2017,2017,Sedan,Trong nước,Hà Nội,Nam Từ Liêm,Số tự động,Máy xăng,Mazda,396000000,8,100000
Mercedes-Benz C300 AMG 2017,2017,Sedan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,760000000,8,60000
Porsche Macan 2.0 2015,2015,SUV,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Porsche,1450000000,10,55000
Mercedes-Benz C250 AMG 2015,2015,Sedan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,620000000,10,80000
Mercedes-Benz C200 Exclusive 2019,2019,Sedan,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,850000000,6,45000
Land Rover Range Rover Evoque 2.0 R-Dynamic SE 2014,2014,SUV,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Land,690000000,11,75000
Lexus RX 450h 2012,2012,SUV,Nhập khẩu,Tp.HCM,Bình Thạnh,Số tự động,Hybrid,Lexus,1190000000,13,80000
Mercedes-Benz GLK 250 4Matic 2014,2014,SUV,Trong nước,Hà Nội,Cầu Giấy,Số tự động,Máy xăng,Mercedes-Benz,540000000,11,110000
BMW 320i GT 2017,2017,Sedan,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,BMW,750000000,8,65000
Mercedes-Benz GLC 300 4Matic V1 2020,2020,SUV,Trong nước,Tp.HCM,Quận 7,Số tự động,Máy xăng,Mercedes-Benz,1380000000,5,50000
Subaru Outback 2.5i-S 2016,2016,Hatchback,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Subaru,675000000,9,80000
Volvo XC90 2.0 Inscription AT 4WD 2018,2018,SUV,Nhập khẩu,Tp.HCM,Quận 7,Số tự động,Máy xăng,Volvo,1490000000,7,85000
